政策标题,政策链接,分类,发布部门,发布时间,验证状态,验证时间
上海市徐汇区新型工业化推进办公室2025年度绩效目标,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab0194e444057c1752,产业发展,徐汇区新型工业化推进办,2025-02-08,✅ 已验证,2025-06-04T12:31:57.941850
上海市徐汇区新型工业化推进办公室2025年度部门预算,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab0194e441e4cc174c,产业发展,徐汇区新型工业化推进办,2025-02-08,✅ 已验证,2025-06-04T12:31:58.620669
上海市徐汇区新型工业化推进办公室2025年度单位预算,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab0194e4406a2b1749,产业发展,徐汇区新型工业化推进办,2025-02-08,✅ 已验证,2025-06-04T12:31:59.327739
上海市徐汇区新型工业化促进中心2025年度单位预算,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab0194e43b55061743,产业发展,徐汇区新型工业化推进办,2025-02-08,✅ 已验证,2025-06-04T12:32:00.004488
2024年上海市徐汇区新型工业化推进办公室 政府信息公开工作年度报告,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab019463b3e4e6128d,产业发展,徐汇区新型工业化推进办,2025-01-13,✅ 已验证,2025-06-04T12:32:00.707654
徐汇区关于推动人工智能产业高质量发展的若干意见（征求意见稿）,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab0194a6f4d71614b0,AI/人工智能,徐汇区新型工业化推进办,2025-01-03,✅ 已验证,2025-06-04T12:32:01.391062
徐汇区关于推动具身智能产业发展的若干意见（征求意见稿）,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab0194a6f27fb814ac,AI/人工智能,徐汇区新型工业化推进办,2025-01-03,✅ 已验证,2025-06-04T12:32:02.087982
关于支持上海市生成式人工智能创新生态先导区的若干措施,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab019384dc95a70aed,AI/人工智能,徐汇区新型工业化推进办,2024-12-02,✅ 已验证,2025-06-04T12:32:02.768090
本区域包含繁简体切换、无障碍工具条打开按钮、关怀版打开按钮，请使用tab按钮切换浏览,https://www.xuhui.gov.cn/kewei/,人才引进,徐汇区第一批高新技术企业奖励申报的通知根据《徐汇区关于加快培育科技领军企业的实施意见》（徐科委,2025-05-20,✅ 已验证,2025-06-04T12:32:03.433389
徐汇区新型工业化发展专项资金管理办法,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab019361d266e109fc,资金补贴,徐汇区新型工业化推进办,2024-11-25,✅ 已验证,2025-06-04T12:32:04.119460
