标题,分类,发布部门,发布时间,链接,企业基本要求,申报条件,申报材料,申报时间,资金支持,其他优惠,内容摘要
上海市徐汇区新型工业化推进办公室2025年度绩效目标,产业发展,徐汇区新型工业化推进办,2025-02-08,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab0194e444057c1752,,,点击数： 403状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询现将2025年度财政项目支出绩效目标申报表信息公开，并以附件形式提供下载; 附件下载：上海市徐汇区新型工业化推进办公室2025年度绩效目标.pdf分享：收藏打印关闭窗口字号：大中小,上海市徐汇区新型工业化推进办公室2025年度绩效目标 首页/政务公开/委办局/徐汇区新型工业化推进办公室/财政信息/财政资金绩效管理情况索引号 : YS0024369970202500010主题分类 : -发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市徐汇区新型工业化推进办公室2025年度绩效目标发布时间： 2025-02-08,,,"首页/政务公开/委办局/徐汇区新型工业化推进办公室/财政信息/财政资金绩效管理情况索引号 : YS0024369970202500010主题分类 : -发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市徐汇区新型工业化推进办公室2025年度绩效目标发布时间： 2025-02-08
                                        点击数： 403状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询现将2025年度财政项目支出绩效目标申报表信息公开，并以附件形式提供下载。附件下载：上海市徐汇区新型工业化推进办公室2025年度绩效目标."
上海市徐汇区新型工业化推进办公室2025年度部门预算,产业发展,徐汇区新型工业化推进办,2025-02-08,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab0194e441e4cc174c,,,点击数： 317状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询现将2025年预算信息公开，并以附件形式提供下载附件下载：上海市徐汇区新型工业化推进办公室2025 年度部门预算.pdf分享：收藏打印关闭窗口字号：大中小,上海市徐汇区新型工业化推进办公室2025年度部门预算 首页/政务公开/委办局/徐汇区新型工业化推进办公室/财政信息/部门预算索引号 : YS0024369970202500009主题分类 : -发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市徐汇区新型工业化推进办公室2025年度部门预算发布时间： 2025-02-08,,,"首页/政务公开/委办局/徐汇区新型工业化推进办公室/财政信息/部门预算索引号 : YS0024369970202500009主题分类 : -发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市徐汇区新型工业化推进办公室2025年度部门预算发布时间： 2025-02-08
                                        点击数： 317状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询现将2025年预算信息公开，并以附件形式提供下载附件下载：上海市徐汇区新型工业化推进办公室2025 年度部门预算.pdf分享：收藏打印关闭窗口字号：大"
上海市徐汇区新型工业化推进办公室2025年度单位预算,产业发展,徐汇区新型工业化推进办,2025-02-08,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab0194e4406a2b1749,,,点击数： 297状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询现将2025年预算信息公开，并以附件形式提供下载附件下载：上海市徐汇区新型工业化推进办公室2025 年度单位预算.pdf分享：收藏打印关闭窗口字号：大中小,上海市徐汇区新型工业化推进办公室2025年度单位预算 首页/政务公开/委办局/徐汇区新型工业化推进办公室/财政信息/部门预算索引号 : YS0024369970202500008主题分类 : -发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市徐汇区新型工业化推进办公室2025年度单位预算发布时间： 2025-02-08,,,"首页/政务公开/委办局/徐汇区新型工业化推进办公室/财政信息/部门预算索引号 : YS0024369970202500008主题分类 : -发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市徐汇区新型工业化推进办公室2025年度单位预算发布时间： 2025-02-08
                                        点击数： 297状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询现将2025年预算信息公开，并以附件形式提供下载附件下载：上海市徐汇区新型工业化推进办公室2025 年度单位预算.pdf分享：收藏打印关闭窗口字号：大"
上海市徐汇区新型工业化促进中心2025年度单位预算,产业发展,徐汇区新型工业化推进办,2025-02-08,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab0194e43b55061743,,,点击数： 270状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询现将2025年预算信息公开，并以附件形式提供下载附件下载：上海市徐汇区新型工业化促进中心2025 年度单位预算.pdf分享：收藏打印关闭窗口字号：大中小,上海市徐汇区新型工业化促进中心2025年度单位预算 首页/政务公开/委办局/徐汇区新型工业化推进办公室/财政信息/部门预算索引号 : YS0024369970202500007主题分类 : -发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市徐汇区新型工业化促进中心2025年度单位预算发布时间： 2025-02-08,,,"首页/政务公开/委办局/徐汇区新型工业化推进办公室/财政信息/部门预算索引号 : YS0024369970202500007主题分类 : -发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市徐汇区新型工业化促进中心2025年度单位预算发布时间： 2025-02-08
                                        点击数： 270状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询现将2025年预算信息公开，并以附件形式提供下载附件下载：上海市徐汇区新型工业化促进中心2025 年度单位预算.pdf分享：收藏打印关闭窗口字号：大中小"
2024年上海市徐汇区新型工业化推进办公室 政府信息公开工作年度报告,产业发展,徐汇区新型工业化推进办,2025-01-13,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab019463b3e4e6128d,,,,2024年上海市徐汇区新型工业化推进办公室 政府信息公开工作年度报告 首页/政务公开/委办局/徐汇区新型工业化推进办公室/政府信息公开/政府信息公开年报索引号 : YS0024369970202500001主题分类 : 业务类发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站2024年上海市徐汇区新型工业化推进办公室 政府信息公开工作年度报告发布时间： 2025-01-13,,,"首页/政务公开/委办局/徐汇区新型工业化推进办公室/政府信息公开/政府信息公开年报索引号 : YS0024369970202500001主题分类 : 业务类发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站2024年上海市徐汇区新型工业化推进办公室 政府信息公开工作年度报告发布时间： 2025-01-13
                                        点击数： 998状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询2024年上海市徐汇区新型工业化推进办公室政府信息公开工作年度报告一、总体情况2024年，根据《中华人民共和国政府信息"
徐汇区关于推动人工智能产业高质量发展的若干意见（征求意见稿）,AI/人工智能,徐汇区新型工业化推进办,2025-01-03,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab0194a6f4d71614b0,鼓励经营主体针对人工智能相关领域持续加强基础研究、前沿技术研发和产品研制投入，对研发投入金额占营业收入5%以上的，经综合评估，可按不超过研发投入30%，给予单个经营主体年度最高5000万元支持; 支持“模速空间”扩大规模，提质增效，形成生态，对符合条件的人工智能经营主体，给予6个月至3年不等的免租优惠; 支持算力集群规模化发展，对经营主体购买或租用算力的，经评审，可按不超过实际算力投入的30%，给予单个主体年度最高2000万元支持; 加快打造高能级、多功能、高质量的人工智能产业体系，构建高效协同的产业生态，积极引进人工智能领军企业、高成长性优质企业和项目，支持企业打造通用大模型、垂直领域行业大模型等，支持智能终端、科学智能、在线新经济、自动驾驶、具身智能、金融、制造、教育、医疗、文旅、城市治理等领域企业人工智能业务板块落地，加快吸引和促进符合区域产业导向的优质主体，经综合评估，可给予单个经营主体最高5000万元的支持; 鼓励掌握行业性或专业性语料资源的经营主体提供高质量语料，支持形成语料服务产品，经认定，可给予单个经营主体年度最高500万元支持,,,徐汇区关于推动人工智能产业高质量发展的若干意见（征求意见稿） 首页/政务公开/委办局/徐汇区新型工业化推进办公室/政策文件/部门文件索引号 : YS0024369970202500005主题分类 : 政策法规发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区关于推动人工智能产业高质量发展的若干意见（征求意见稿）发布时间： 2025-01-03,对取得国家级、市级专项资金支持的项目，经综合评估，可给予一定支持; 对符合徐汇产业发展导向的经营主体租赁自用办公场地的，经分类认定，可参照模速空间支持力度，给予单个经营主体房租、装修等一次性支持金额最高1000万元; 对首次认定为上海市“专精特新”的企业，经认定，可给予最高10万元的一次性奖励; 对首次认定为国家级专精特新“小巨人”的企业，经认定，可给予最高50万元的一次性奖励,支持举办世界人工智能大会等具有国际影响力的重大活动，重点支持奖励,"首页/政务公开/委办局/徐汇区新型工业化推进办公室/政策文件/部门文件索引号 : YS0024369970202500005主题分类 : 政策法规发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区关于推动人工智能产业高质量发展的若干意见（征求意见稿）发布时间： 2025-01-03
                                        点击数： 705状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询徐汇区关于推动人工智能产业高质量发展的若干意见（征求意见稿）为推动人工智能产业全产业链高质量发展，加快建成全国人工智能高地，特制定本意见"
徐汇区关于推动具身智能产业发展的若干意见（征求意见稿）,AI/人工智能,徐汇区新型工业化推进办,2025-01-03,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab0194a6f27fb814ac,鼓励经营主体持续加强具身智能领域基础研究、前沿技术研发和产品研制投入，对年度研发投入金额占年度营业收入5%以上的，经综合评估，可按不超过年度研发投入30%，给予单个经营主体年度最高2000万元支持; 鼓励经营主体加快共性技术平台、概念验证中心和行业中试基地等建设; 鼓励具身智能主体拓展在工业、商业、服务业等领域应用，对具有行业引领和示范效应的场景项目，经综合评估，可按不超过核定总投入50%，给予单个项目最高500万元支持; 对主导制订具身智能相关国际标准、国家标准、行业标准或者地方标准的经营主体，经评审，可分别给予最高100万元、50万元、30万元、10万元支持; 对首次认定为上海市“专精特新”的企业，经认定，可给予最高10万元的一次性奖励,,,徐汇区关于推动具身智能产业发展的若干意见（征求意见稿） 首页/政务公开/委办局/徐汇区新型工业化推进办公室/政策文件/部门文件索引号 : YS0024369970202500003主题分类 : 政策法规发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区关于推动具身智能产业发展的若干意见（征求意见稿）发布时间： 2025-01-03,对取得市级及以上专项资金支持的项目，经综合评估，可给予一定支持; 围绕机器人大模型、具身智能算法系统、具身智能大数据系统、机器人操作系统等关键领域，加快吸引和促进符合区域产业导向的优质主体，经综合评估，可给予单个经营主体最高1000万元的一次性支持和最高2000万元的年度发展支持; 对首次认定为上海市“专精特新”的企业，经认定，可给予最高10万元的一次性奖励; 对首次认定为国家级专精特新“小巨人”的企业，经认定，可给予最高50万元的一次性奖励,,"首页/政务公开/委办局/徐汇区新型工业化推进办公室/政策文件/部门文件索引号 : YS0024369970202500003主题分类 : 政策法规发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区关于推动具身智能产业发展的若干意见（征求意见稿）发布时间： 2025-01-03
                                        点击数： 345状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询徐汇区关于推动具身智能产业发展的若干意见（征求意见稿）推动徐汇具身智能产业集聚和高质量发展，加快培育形成新质生产力，有力支撑新型工业化，制定本"
关于支持上海市生成式人工智能创新生态先导区的若干措施,AI/人工智能,徐汇区新型工业化推进办,2024-12-02,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab019384dc95a70aed,鼓励做大做强，对达到一定规模的企业，可按其年度营业收入的一定比例给予经营奖励; 鼓励掌握行业性或专业性语料资源的企业、机构等主体提供高质量语料，供先导区各创新主体使用，探索基于数据贡献、模型应用的商业化场景合作; 鼓励先导区各创新主体研发融合行业数据集的垂类L1基座大模型，以及面向行业具体场景的L2行业大模型和智能体; 对具有突出应用价值和效果、可解决行业重大难题的行业大模型，经综合评价，最高可按照相关资金管理办法，给予不超过1000万元的资金奖励; 鼓励应用场景单位开放场景，打造具有行业引领和示范效应的技术应用与场景建设项目,上述主体需经营状态正常、信用记录良好、符合政策申报条件,,（四）在本措施自2024年X月X日起试行，有效期至2025年X月X日; 关于支持上海市生成式人工智能创新生态先导区的若干措施 首页/政务公开/委办局/徐汇区新型工业化推进办公室/政策文件/规范性文件索引号 : YS0024369970202400010主题分类 : 政策法规发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站关于支持上海市生成式人工智能创新生态先导区的若干措施发布时间： 2024-12-02,加强市区协同，对取得市级以上专项资金支持的项目，最高可按照1:1的比例予以配套支持; 鼓励先导区各创新主体相关产品、服务取得商业成果，最高可按销售合同金额的15%，给予销售方不超过1000万元的一次性补贴,二、支持领域本措施重点支持先导区人工智能相关领域高质量发展，对辐射范围广、科创含量高、带动能力大、标杆作用强、应用前景好的项目、企业、平台、产品及服务予以优先支持,"首页/政务公开/委办局/徐汇区新型工业化推进办公室/政策文件/规范性文件索引号 : YS0024369970202400010主题分类 : 政策法规发布机构 : -发文字号 : -公开属性 : 主动公开公开渠道 : 网站关于支持上海市生成式人工智能创新生态先导区的若干措施发布时间： 2024-12-02
                                        点击数： 1096状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询关于支持上海市生成式人工智能创新生态先导区的若干措施（征求意见稿）为全面落实市委市政府对生成式人工智能创新生态先导区（以下简称先导区）的功能"
本区域包含繁简体切换、无障碍工具条打开按钮、关怀版打开按钮，请使用tab按钮切换浏览,人才引进,徐汇区第一批高新技术企业奖励申报的通知根据《徐汇区关于加快培育科技领军企业的实施意见》（徐科委,2025-05-20,https://www.xuhui.gov.cn/kewei/,2025-05-20区科委结合学习教育开展节前安全生产检查2025-05-08徐汇区“孵力加速”系列活动启动 培育科创孵化新动能2025-04-25“智汇科技，创新领航”生物医药企业交流分享会成功举办2025-04-11区科委、科协召开中心组（扩大）会议2025-03-31热评丨织密“服务网” 让“好人才”遇见“好职位”2025-06-03加大力度整治汽车行业“内卷式”竞争2025-06-03多家国际投行上调中国经济增速预期2025-06-03中国风点燃消费新引擎2025-06-03外贸企业从容应对市场波动（新视窗）2025-06-03利企便民; 本区域包含繁简体切换、无障碍工具条打开按钮、关怀版打开按钮，请使用tab按钮切换浏览 关于开展2025年徐汇区第一批高新技术企业奖励申报的通知根据《徐汇区关于加快培育科技领军企业的实施意见》（徐科委...葛均波院士领航，徐汇集结,,,,,,关于开展2025年徐汇区第一批高新技术企业奖励申报的通知根据《徐汇区关于加快培育科技领军企业的实施意见》（徐科委...葛均波院士领航，徐汇集结！2025-05-20区科委结合学习教育开展节前安全生产检查2025-05-08徐汇区“孵力加速”系列活动启动 培育科创孵化新动能2025-04-25“智汇科技，创新领航”生物医药企业交流分享会成功举办2025-04-11区科委、科协召开中心组（扩大）会议2025-03-31热评丨织密“服务网” 让“好人才”遇见“好职位”2025-06-03加大力度整治汽车行业“内卷式”竞争2025-06-03多家国际投行上调中国经济增速预期2025-06-03中国风点
徐汇区新型工业化发展专项资金管理办法,资金补贴,徐汇区新型工业化推进办,2024-11-25,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab019361d266e109fc,紧抓先进制造业和现代服务业融合发展趋势，鼓励制造业转型发展，推动生产性服务业向专业化、数字化和价值链高端延伸，进一步提升徐汇生产性服务业规模和能级，支持本区服务业向价值链高端延伸，推进生产性服务业的高质量发展; 以应用技术突破、应用产品落地、应用场景示范为导向，鼓励人工智能领域优质企业落户、发展壮大，支持企业等创新主体开展关键技术攻关及产业链合作，推动软硬件产品落地，加快技术应用示范，打造具有行业引领和示范效应的应用场景，优化产业发展生态，赋能产业升级; 围绕区域信息服务业产业发展导向，支持优质企业落户、发展壮大，支持基础软件、工业软件发展，推动行业应用软件向服务化、平台化转型; 聚焦建立优质企业梯度培育体系，持续做优中小企业“千帆计划”，鼓励区域中小企业走专精特新发展道路，加大专精特新企业培育支持力度，支持大、中、小各类企业集群发展，加快产业提质增效，推动中小企业高质量发展,,申请单位根据要求向指定的项目受理部门或渠道提交申报材料，并承诺对申报材料的真实性、合法性、准确性负责; 第十一条资金拨付专项资金扶持项目由区新型工业化办审核通过后填写资金申请表，经区财政局复核预算等信息后，报区政府分管领导审批，并由区财政局按国库集中支付的管理要求拨付资金,第五章附则第十四条本办法有效期自发布之日起至2026年12月31日止; 徐汇区新型工业化发展专项资金管理办法 首页/政务公开/委办局/徐汇区新型工业化推进办公室/政策文件/部门文件索引号 : YS0024369970202400009主题分类 : 政策法规发布机构 : 徐汇区新型工业化推进办公室发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区新型工业化发展专项资金管理办法发布时间： 2024-11-25,第二章资金支持方向和方式第四条支持方向立足贯彻新发展理念、构建新发展格局、推动高质量发展，坚持把发展新质生产力作为重要着力点，加快推进新型工业化发展，专项资金主要用于以下方向：（一）推动制造业高质量发展; 第十条项目受理和审核区新型工业化办根据政策规定接受申请，对符合条件的项目予以受理，通过材料审核、专家评审或综合审定等方式，确定专项资金支持的项目和专项资金数额; 第三章预算管理和资金拨付第六条预算编制区新型工业化办根据部门预算编制的相关要求，研判下一年度支持重点和扶持资金数额，按照规定程序编制年度专项资金预算，按规定程序报区财政局; 徐汇区新型工业化发展专项资金管理办法 首页/政务公开/委办局/徐汇区新型工业化推进办公室/政策文件/部门文件索引号 : YS0024369970202400009主题分类 : 政策法规发布机构 : 徐汇区新型工业化推进办公室发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区新型工业化发展专项资金管理办法发布时间： 2024-11-25; 点击数： 719状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询徐汇区新型工业化发展专项资金管理办法(征求意见稿)第一章总则第一条目的和依据为加强和规范专项资金管理，提高专项资金使用效益，进一步加快区域新型工业化发展，促进区域工业、生产性服务业、人工智能、软件和信息服务业、中小企业发展工作，加快产业经济升级转型，根据财政专项资金管理的有关规定要求，特制定本办法,,"首页/政务公开/委办局/徐汇区新型工业化推进办公室/政策文件/部门文件索引号 : YS0024369970202400009主题分类 : 政策法规发布机构 : 徐汇区新型工业化推进办公室发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区新型工业化发展专项资金管理办法发布时间： 2024-11-25
                                        点击数： 719状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询徐汇区新型工业化发展专项资金管理办法(征求意见稿)第一章总则第一条目的和依据为加强和规范专项资金管理，提高专项资金使用效益，进一步加快区"
