标题,分类,发布部门,发布时间,链接,企业基本条件,人才要求,申报材料,申报时间,支持标准,内容摘要
本区域包含繁简体切换、无障碍工具条打开按钮、关怀版打开按钮，请使用tab按钮切换浏览,住房保障,徐汇区房管局,2025-05-27,https://www.xuhui.gov.cn/fangtuju/,,,,,,防台防汛 | 查隐患未雨绸缪 保平安严阵以待徐汇区房管局深入贯彻2025年防台防汛工作的决策部署，牢固树立“人民至上、生命至上”理念，聚焦“早部...徐汇新增一个保障性租赁住房社区，看看“城市理想生活样板间...2025-05-27伍月｜游心寓目 卫乐公寓2025-05-20筑牢“五一”住房安全防线，区房管局开展安全生产大检查2025-05-13选房啦！2025-04-30肆月｜游心寓目 伊丽莎白公寓2025-04-27（投资中国）在华外企加码中国市场 愿与中国经济“同频共振”2025-06-03经济随笔丨“两重”建设为什么如此重要？2025-06-03今年以来消费品以旧换新销售额突破1万亿元2025-06-03热评丨织密“服务网” 让“好人才”遇见“好职位”2025-06-03加大力度整治汽车行业“内卷式”竞争2025-06-03多家国际投行上调中国经济增速预期2025-06-03中国风点燃消费新引擎2025-06-03上海市廉租住房申请家庭复审公示（2025年5月28...2025-05-28上海市廉租住房申请家庭复审公示（2025年5月28...2025-05-28上海市廉租住房
上海市廉租住房申请家庭复审公示（2025年5月28日),住房保障,徐汇区住房保障和房屋管理局,2025年5月28日,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d01971586d610037d,,,,,,"首页/政务公开/委办局/徐汇区住房保障和房屋管理局/保障性住房管理/廉租住房管理索引号 : YS0024364570202500040主题分类 : 业务类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市廉租住房申请家庭复审公示（2025年5月28日)发布时间： 2025-05-28
                                        点击数： 117状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询上海市廉租住房申请家庭复审公示根据上海市廉租住房管理有关规定，按照“公开、公平、公正”的原则做好廉租住房申请审核工作，现将经街道（乡、镇）住房保障机构初审通过、并经区住房保障机构复审，符合申请廉租住房户籍年限、住房状况、家庭收入和财产状况等准入标准的申请家庭名单公示如下：公示单位：上海市徐汇区住房保障和物业管理事务中心公示时间：2025年5月29日起至2025年5月31日接待地点：上中路466号401室（邮编：200231）接待时间：9:00至11:30  14:00至16:30 (周一至周五)举报电话：6437"
上海市廉租住房申请家庭复审公示（2025年5月28日),住房保障,徐汇区住房保障和房屋管理局,2025年5月28日,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0197158dc4fa0380,,,,,,"首页/政务公开/委办局/徐汇区住房保障和房屋管理局/保障性住房管理/廉租住房管理索引号 : YS0024364570202500041主题分类 : 业务类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市廉租住房申请家庭复审公示（2025年5月28日)发布时间： 2025-05-28
                                        点击数： 107状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询上海市廉租住房申请家庭复审公示根据上海市廉租住房管理有关规定，按照“公开、公平、公正”的原则做好廉租住房申请审核工作，现将经街道（乡、镇）住房保障机构初审通过、并经区住房保障机构复审，符合申请廉租住房户籍年限、住房状况、家庭收入和财产状况等准入标准的申请家庭名单公示如下：公示单位：上海市徐汇区住房保障和物业管理事务中心公示时间：2025年5月29日起至2025年5月31日接待地点：上中路466号401室（邮编：200231）接待时间：9:00至11:30  14:00至16:30 (周一至周五)举报电话：6437"
上海市廉租住房申请家庭复审公示（2025年5月23日),住房保障,徐汇区住房保障和房屋管理局,2025年5月23日,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0196fbe1cfd801ad,,,,,,"首页/政务公开/委办局/徐汇区住房保障和房屋管理局/保障性住房管理/廉租住房管理索引号 : YS0024364570202500039主题分类 : 业务类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市廉租住房申请家庭复审公示（2025年5月23日)发布时间： 2025-05-23
                                        点击数： 166状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询上海市廉租住房申请家庭复审公示根据上海市廉租住房管理有关规定，按照“公开、公平、公正”的原则做好廉租住房申请审核工作，现将经街道（乡、镇）住房保障机构初审通过、并经区住房保障机构复审，符合申请廉租住房户籍年限、住房状况、家庭收入和财产状况等准入标准的申请家庭名单公示如下：公示单位：上海市徐汇区住房保障和物业管理事务中心公示时间：2025年5月24日起至2025年5月26日接待地点：上中路466号401室（邮编：200231）接待时间：9:00至11:30  14:00至16:30 (周一至周五)举报电话：6437"
上海市廉租住房申请家庭复审公示（2025年5月21日),住房保障,徐汇区住房保障和房屋管理局,2025年5月21日,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0196f1b1b401014b,,,,,,"首页/政务公开/委办局/徐汇区住房保障和房屋管理局/保障性住房管理/廉租住房管理索引号 : YS0024364570202500038主题分类 : 业务类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市廉租住房申请家庭复审公示（2025年5月21日)发布时间： 2025-05-21
                                        点击数： 140状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询上海市廉租住房申请家庭复审公示根据上海市廉租住房管理有关规定，按照“公开、公平、公正”的原则做好廉租住房申请审核工作，现将经街道（乡、镇）住房保障机构初审通过、并经区住房保障机构复审，符合申请廉租住房户籍年限、住房状况、家庭收入和财产状况等准入标准的申请家庭名单公示如下：公示单位：上海市徐汇区住房保障和物业管理事务中心公示时间：2025年5月22日起至2025年5月24日接待地点：上中路466号401室（邮编：200231）接待时间：9:00至11:30  14:00至16:30 (周一至周五)举报电话：6437"
上海市廉租住房申请家庭复审公示（2025年5月15日)2,住房保障,徐汇区住房保障和房屋管理局,2025年5月15日,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0196d2e55cac0075,,,,,,"首页/政务公开/委办局/徐汇区住房保障和房屋管理局/保障性住房管理/廉租住房管理索引号 : YS0024364570202500037主题分类 : 业务类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市廉租住房申请家庭复审公示（2025年5月15日)2发布时间： 2025-05-15
                                        点击数： 221状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询上海市廉租住房申请家庭复审公示根据上海市廉租住房管理有关规定，按照“公开、公平、公正”的原则做好廉租住房申请审核工作，现将经街道（乡、镇）住房保障机构初审通过、并经区住房保障机构复审，符合申请廉租住房户籍年限、住房状况、家庭收入和财产状况等准入标准的申请家庭名单公示如下：公示单位：上海市徐汇区住房保障和物业管理事务中心公示时间：2025年5月16日起至2025年5月18日接待地点：上中路466号401室（邮编：200231）接待时间：9:00至11:30  14:00至16:30 (周一至周五)举报电话：643"
上海市廉租住房申请家庭复审公示（2025年5月15日),住房保障,徐汇区住房保障和房屋管理局,2025年5月15日,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0196d19436d4006e,,,,,,"首页/政务公开/委办局/徐汇区住房保障和房屋管理局/保障性住房管理/廉租住房管理索引号 : YS0024364570202500036主题分类 : 业务类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站上海市廉租住房申请家庭复审公示（2025年5月15日)发布时间： 2025-05-15
                                        点击数： 190状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询上海市廉租住房申请家庭复审公示根据上海市廉租住房管理有关规定，按照“公开、公平、公正”的原则做好廉租住房申请审核工作，现将经街道（乡、镇）住房保障机构初审通过、并经区住房保障机构复审，符合申请廉租住房户籍年限、住房状况、家庭收入和财产状况等准入标准的申请家庭名单公示如下：公示单位：上海市徐汇区住房保障和物业管理事务中心公示时间：2025年5月16日起至2025年5月18日接待地点：上中路466号401室（邮编：200231）接待时间：9:00至11:30  14:00至16:30 (周一至周五)举报电话：6437"
徐汇区住房保障和房屋管理局2024年保障性安居工程中央专项补助资金分配结果,住房保障,徐汇区住房保障和房屋管理局,2025-05-14,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0696c75c4d0196cc8571fe003e,,,,,徐汇区住房保障和房屋管理局2024年保障性安居工程中央专项补助资金分配结果 首页/政务公开/委办局/徐汇区住房保障和房屋管理局/财政信息/专项资金联动公开索引号 : YS0024364570202500035主题分类 : 其他类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区住房保障和房屋管理局2024年保障性安居工程中央专项补助资金分配结果发布时间： 2025-05-14,"首页/政务公开/委办局/徐汇区住房保障和房屋管理局/财政信息/专项资金联动公开索引号 : YS0024364570202500035主题分类 : 其他类发布机构 : 住房保障房屋管理局发文字号 : -公开属性 : 主动公开公开渠道 : 网站徐汇区住房保障和房屋管理局2024年保障性安居工程中央专项补助资金分配结果发布时间： 2025-05-14
                                        点击数： 789状态查询（撤销/补正）申请人姓名/法人名称：流水号：查询详细内容见附件。附件下载：上海市徐汇区住房保障和房屋管理局2024年保障性安居工程中央财政专项补助资金分配结果.pdf公众意见*姓 名：*手机号码：身份证号：电子邮箱：*您的留言：发送留言我要发表意见如果您已经注册请先登录，如果您尚未注册先注册分享：收藏打印关闭窗口字号：大中小"
徐汇新增一个保障性租赁住房社区，看看“城市理想生活样板间”长什么样时间：2025-05-27,住房保障,徐汇区房管局,2025-05-27,https://www.xuhui.gov.cn/zfjg_qzfbm_fgj_bmdt/20250526/557401.html,,,,,,想住进“理想生活”的样板间吗？全新精装房源，品牌家电一键配齐，拎包即享品质生活；推窗见景的滨水步道、绿意盎然的广场花园，让都市喧嚣与自然诗意在此交融；15分钟步行圈囊括日月光商圈、漕溪公园与三甲医院，工作、休闲、健康“一键直达”！5月16日，上海城投旗下租赁住宅品牌“城投宽庭”在徐汇区的首个保障性租赁住房社区——“城投宽庭徐汇社区”正式开业运营。该项目共有1283套房源，首批推出546套，以优质居住体验助力新市民、青年人安居乐业，为徐汇人才集聚筑巢引凤。落地徐汇中城核心区域，筑就人才安居“强磁场”“城投宽庭徐汇社区”坐落于漕溪路258弄25号，地处徐汇中城功能区核心地段。这里西接漕河泾开发区、东连徐汇滨江、北邻徐家汇CBD、南靠徐汇日月光中心。在“职住娱医”全维度覆盖的15分钟步行圈内，徐汇日月光中心满足购物休闲需求，漕溪公园提供绿色生态空间，第八人民医院守护居民健康。这种“功能复合型”的区位特点，让社区既承载了城市生活的烟火气，又成为人才集聚的“强磁场”。开业仪式上，嘉宾们共同启幕“城投宽庭徐汇社区”项目。随后，来自国泰君安、建设银行、农业银行、交通银行、东方有线网络公司的企业客户代
伍月｜游心寓目 卫乐公寓时间：2025-05-20,其他,徐汇区房管局,2025-05-20,https://www.xuhui.gov.cn/zfjg_qzfbm_fgj_bmdt/20250514/556864.html,,,,,,伍月·柳浪飘摇 文思浩渺卫乐公寓建筑类型 | 高层公寓建造年代 | 1934-35年建筑地址 | 复兴西路34号建筑设计 | 义品放款银行营造部（Crédit Foncier d'Extrême-Orient Department des Constructions Shanghai）建筑风格 | 装饰艺术风格我选择了一间面积稍大的南房，它有一排五扇玻璃窗，还有前后两扇通走廊和阳台的门。因为朝向好，夏季很凉爽，冬季却有满房子温暖的阳光。……还有个足以点缀我这座书城的有利的条件是，南窗外面是个小花园，……因为花木多，鸟雀也不少，天刚黎明就是一片此起彼落的竞唱；甚至夏秋之交从窗口传入持续不断的蝉声，也觉得不仅可以容忍，颇为而且悦耳了。——王西彦《在自己的钟楼上》春夏之交的卫乐公寓卫乐公寓过去叫卫乐精舍（Willow Court），地址在上海市徐汇区复兴西路34号，复兴西路沿街历史建筑占沿线建筑总量的比例高达60%（附近建筑参见去年的“玫瑰别墅”一文标注），历史建筑质量较高，保护保存情况较好，周边街区历史建筑保存情况也较好[1]，街道尺度也没有发生变化，是体验百年前城市的高级住宅社区氛围的理
